timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693391782839,2,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.minmaxst.com:443 failed to respond,Practice_Thread_Group 1-29,text,false,,2098,0,15,15,https://www.minmaxst.com/,0,0,0
1693391780910,2122,HTTP Request,200,OK,Practice_Thread_Group 1-24,text,true,,465614,118,14,14,https://www.minmaxst.com/,307,0,0
1693391778915,4158,HTTP Request,200,OK,Practice_Thread_Group 1-5,text,true,,465614,118,13,13,https://www.minmaxst.com/,306,0,0
1693391779308,4272,HTTP Request,200,OK,Practice_Thread_Group 1-4,text,true,,465614,118,12,12,https://www.minmaxst.com/,298,0,0
1693391779029,4818,HTTP Request,200,OK,Practice_Thread_Group 1-2,text,true,,465614,118,11,11,https://www.minmaxst.com/,305,0,0
1693391780202,3751,HTTP Request,200,OK,Practice_Thread_Group 1-16,text,true,,465614,118,10,10,https://www.minmaxst.com/,338,0,0
1693391776250,8156,HTTP Request,200,OK,Practice_Thread_Group 1-23,text,true,,465640,118,9,9,https://www.minmaxst.com/,952,0,644
1693391784407,2,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.minmaxst.com:443 failed to respond,Practice_Thread_Group 1-23,text,false,,2098,0,9,9,https://www.minmaxst.com/,0,0,0
1693391776449,8301,HTTP Request,200,OK,Practice_Thread_Group 1-25,text,true,,465640,118,8,8,https://www.minmaxst.com/,907,0,600
1693391784751,2,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.minmaxst.com:443 failed to respond,Practice_Thread_Group 1-25,text,false,,2098,0,8,8,https://www.minmaxst.com/,0,0,0
1693391781650,3222,HTTP Request,200,OK,Practice_Thread_Group 1-27,text,true,,465614,118,7,7,https://www.minmaxst.com/,298,0,0
1693391779592,5690,HTTP Request,200,OK,Practice_Thread_Group 1-9,text,true,,465614,118,6,6,https://www.minmaxst.com/,305,0,0
1693391779228,7335,HTTP Request,200,OK,Practice_Thread_Group 1-1,text,true,,465614,118,5,5,https://www.minmaxst.com/,327,0,0
1693391779910,6709,HTTP Request,200,OK,Practice_Thread_Group 1-14,text,true,,465614,118,4,4,https://www.minmaxst.com/,1783,0,0
1693391782460,4592,HTTP Request,200,OK,Practice_Thread_Group 1-22,text,true,,465614,118,3,3,https://www.minmaxst.com/,307,0,0
1693391781814,5515,HTTP Request,200,OK,Practice_Thread_Group 1-20,text,true,,465614,118,2,2,https://www.minmaxst.com/,300,0,0
1693391782549,4838,HTTP Request,200,OK,Practice_Thread_Group 1-30,text,true,,465614,118,1,1,https://www.minmaxst.com/,324,0,0
